ISO 8601 Time,Speed (cm/s),Bearing (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2017-06-22T08:00:00.000,91.33,353.36,90.72,-10.56
2017-06-22T08:01:00.000,91.33,353.45,90.73,-10.43
2017-06-22T08:02:00.000,91.14,353.74,90.60,-9.94
2017-06-22T08:03:00.000,91.14,348.39,89.28,-18.34
2017-06-22T08:04:00.000,91.14,351.23,90.08,-13.90
2017-06-22T08:05:00.000,91.14,354.26,90.69,-9.12
2017-06-22T08:06:00.000,91.14,353.93,90.63,-9.64
2017-06-22T08:07:00.000,91.14,353.80,90.61,-9.84
2017-06-22T08:08:00.000,86.90,143.55,-69.90,51.62
2017-06-22T08:09:00.000,89.67,150.66,-78.17,43.93
2017-06-22T08:10:00.000,66.90,160.01,-62.87,22.87
2017-06-22T08:11:00.000,60.18,82.26,8.10,59.63
2017-06-22T08:12:00.000,52.85,79.21,9.89,51.91
2017-06-22T08:13:00.000,43.70,67.92,16.42,40.49
2017-06-22T08:14:00.000,45.39,55.70,25.58,37.49
2017-06-22T08:15:00.000,45.73,83.24,5.38,45.41
2017-06-22T08:16:00.000,45.05,84.04,4.67,44.81
2017-06-22T08:17:00.000,45.05,84.67,4.19,44.86
2017-06-22T08:18:00.000,45.73,86.70,2.63,45.65
2017-06-22T08:19:00.000,47.93,89.26,0.62,47.92
2017-06-22T08:20:00.000,45.73,87.10,2.32,45.67
2017-06-22T08:21:00.000,47.25,88.11,1.56,47.22
2017-06-22T08:22:00.000,48.10,89.52,0.40,48.10
2017-06-22T08:23:00.000,45.56,86.76,2.58,45.49
2017-06-22T08:24:00.000,45.90,87.44,2.05,45.85
2017-06-22T08:25:00.000,46.74,88.65,1.10,46.73
2017-06-22T08:26:00.000,44.20,65.25,18.51,40.14
2017-06-22T08:27:00.000,44.37,62.10,20.77,39.21
2017-06-22T08:28:00.000,44.54,61.58,21.20,39.18
2017-06-22T08:29:00.000,52.26,84.68,4.84,52.03
2017-06-22T08:30:00.000,42.43,13.85,41.20,10.16
2017-06-22T08:31:00.000,44.71,86.53,2.71,44.63
2017-06-22T08:32:00.000,44.54,85.45,3.54,44.40
2017-06-22T08:33:00.000,45.39,86.14,3.05,45.29
2017-06-22T08:34:00.000,45.73,85.70,3.43,45.60
2017-06-22T08:35:00.000,45.05,84.08,4.64,44.81
